date,Closed PnL,Size USD,Num_Trades,classification,value
01-05-2023,0,477,3,Greed,63
05-12-2023,0,50005.83,9,Extreme Greed,75
14-12-2023,-18.67588518,113203.35,11,Greed,72
15-12-2023,-12.316017,10609.95,2,Greed,70
16-12-2023,0,15348.77,3,Greed,67
17-12-2023,21.78448464,116278.02,14,Greed,73
18-12-2023,0,31164.18,2,Greed,65
19-12-2023,66.70257413,91602.41,15,Greed,73
20-12-2023,9.040682333,141636.79,18,Greed,74
21-12-2023,10.963498,125233.97,49,Greed,70
22-12-2023,14.1832675,88874.28,10,Greed,74
23-12-2023,11.30282338,78438.25,13,Greed,70
24-12-2023,25.86205015,402954.94,39,Greed,71
25-12-2023,-81.69378267,59948.51,3,Greed,73
27-12-2023,-25.17461525,171411.06,28,Greed,73
28-12-2023,-42.20569026,100117.25,23,Greed,73
29-12-2023,10.17844286,569559.72,50,Greed,65
30-12-2023,6.826897077,702550.21,52,Greed,68
01-01-2024,-7.196192222,264239.53,18,Greed,65
02-01-2024,46.11641859,121348.74,17,Greed,71
03-01-2024,12.92560458,394499.36,67,Greed,70
04-01-2024,-13.520728,99792.54,5,Greed,68
05-01-2024,2.486993409,1703942.66,66,Greed,72
06-01-2024,6.162802909,298521.4,22,Greed,70
07-01-2024,-8.615270464,1048850.06,97,Greed,71
08-01-2024,-2.108394055,1522452.43,128,Greed,71
09-01-2024,-11.80499804,870051.97,70,Extreme Greed,76
10-01-2024,-7.860576902,2057479.48,193,Greed,73
11-01-2024,-7.813785762,305314.1,21,Extreme Greed,76
12-01-2024,-275.0741463,200082.27,7,Greed,71
15-01-2024,10.91811286,50636.1,14,Neutral,52
16-01-2024,-255.4634953,116427.33,9,Greed,64
17-01-2024,15.34479455,800831.03,53,Greed,60
18-01-2024,1.498547609,424631.53,46,Greed,63
19-01-2024,-8.029567396,428428.97,48,Neutral,51
20-01-2024,-1.382781792,1070090.51,106,Neutral,52
21-01-2024,24.23464964,103129.74,11,Greed,56
22-01-2024,16.18401128,337878.99,85,Greed,55
23-01-2024,-8.205438444,414518.93,45,Neutral,50
24-01-2024,-41.29932081,965084.59,68,Neutral,48
25-01-2024,-515.6048975,66566.13,6,Neutral,52
26-01-2024,18.04,11773.21,5,Neutral,49
28-01-2024,-225.2790655,18109.03,11,Neutral,54
29-01-2024,6.575169486,414208.18,74,Greed,55
30-01-2024,-3.543963082,401011.38,49,Greed,61
31-01-2024,-0.931130171,6305647.13,859,Greed,60
01-02-2024,0,2008.18,6,Greed,63
02-02-2024,10.86722555,474278.43,42,Greed,63
03-02-2024,3.987664054,603820,56,Greed,60
04-02-2024,1.360682714,203187.53,35,Greed,60
05-02-2024,-0.464641583,770198.26,72,Greed,60
06-02-2024,-0.198176385,8047153.41,1088,Greed,64
07-02-2024,16.082808,6758.73,15,Greed,62
08-02-2024,77.0756024,26051.12,10,Greed,66
11-02-2024,28.92479929,212311.82,34,Greed,71
12-02-2024,57.11761169,227247.7,16,Greed,70
13-02-2024,39.96027786,1999.99,14,Extreme Greed,79
14-02-2024,34.50990841,320839.88,111,Greed,74
15-02-2024,29.21901075,185188.04,63,Greed,72
16-02-2024,30.17455403,564896.51,182,Greed,72
17-02-2024,20.52810426,406118.07,94,Extreme Greed,76
18-02-2024,4.92396732,157048.17,97,Greed,72
19-02-2024,42.75018379,286377.2,101,Extreme Greed,75
20-02-2024,83.68279036,119419.72,39,Greed,72
21-02-2024,84.49084409,108047.52,22,Extreme Greed,78
22-02-2024,44.25119398,373033.87,88,Greed,74
23-02-2024,9.919950559,111106.14,143,Extreme Greed,76
25-02-2024,-6.1541,4480.13,5,Greed,74
26-02-2024,113.2524949,192187.14,39,Greed,72
27-02-2024,14.10336084,209362.3,63,Extreme Greed,79
28-02-2024,55.63882744,171107.13,45,Extreme Greed,82
29-02-2024,84.60342234,395666.73,116,Extreme Greed,80
01-03-2024,60.17694459,472974.7,137,Extreme Greed,80
02-03-2024,7.448406452,63197.56,31,Extreme Greed,80
